Date Receipt,Order Number,Item,Receipt Number,PR/ Stock#,Short Description,Qty,UOI,Vendor,Vendor Name,Receipt_Reference,Order Number,Or Ty,Item,Receipt Number,2nd Item Number,Original Number,Original Type,Line Description,Quantity To Receive,UM,Actual Ship Date,Unit Cost,Foreign Unit Cost,Account Number,Supplier,Supplier Name,Transaction Originator
2/4/2009,1896/O2,1,2800/OV,8070511009,ROCK.RIVER RUN ROCK.(BATU PASIR KALI BERSIH TANPA TANAH).,12.74,CUM,207276,"Jasa Teknik, UD",SJ-2/04/2009,9000280,OP,1,,8070511009,9000203,OQ,ROCK,12.74,M3,,5.44,69.31,,207276,"JASA TEKNIK, UD",131870
2/4/2009,1896/O2,2,2799/OV,8070511109,"ROCK, MEDIUM, M-10",19,CUM,207276,"Jasa Teknik, UD",SJ-2/04/2009,9000280,OP,2,,8070511109,9000203,OQ,ROCK,19.49,M3,,5.5189,107.56,,207276,"JASA TEKNIK, UD",131870
4/4/2009,1896/O2,1,2800/OV,8070511009,ROCK.RIVER RUN ROCK.(BATU PASIR KALI BERSIH TANPA TANAH).,,CUM,207276,"Jasa Teknik, UD",SJ-3/04/2009,9000280,OP,1,,8070511009,9000203,OQ,ROCK, -   ,M3,,5.44,0,,207276,"JASA TEKNIK, UD",131870
4/4/2009,1896/O2,2,2799/OV,8070511109,"ROCK, MEDIUM, M-10",20,CUM,207276,"Jasa Teknik, UD",SJ-3/04/2009,9000280,OP,2,,8070511109,9000203,OQ,ROCK,19.78,M3,,5.5189,109.16,,207276,"JASA TEKNIK, UD",131870
5/4/2009,1896/O2,1,2800/OV,8070511009,ROCK.RIVER RUN ROCK.(BATU PASIR KALI BERSIH TANPA TANAH).,19,CUM,207276,"Jasa Teknik, UD",SJ-5/04/2009,9000280,OP,1,,8070511009,9000203,OQ,ROCK,19.46,M3,,5.44,105.86,,207276,"JASA TEKNIK, UD",131870
5/4/2009,1896/O2,2,2799/OV,8070511109,"ROCK, MEDIUM, M-10",10,CUM,207276,"Jasa Teknik, UD",SJ-5/04/2009,9000280,OP,2,,8070511109,9000203,OQ,ROCK,9.83,M3,,5.5189,54.25,,207276,"JASA TEKNIK, UD",131870
6/4/2009,1896/O2,1,2800/OV,8070511009,ROCK.RIVER RUN ROCK.(BATU PASIR KALI BERSIH TANPA TANAH).,6.46,CUM,207276,"Jasa Teknik, UD",SJ-6/04/2009,9000280,OP,1,,8070511009,9000203,OQ,ROCK,6.46,M3,,5.44,35.14,,207276,"JASA TEKNIK, UD",131870
6/4/2009,1896/O2,2,2799/OV,8070511109,"ROCK, MEDIUM, M-10",19.88,CUM,207276,"Jasa Teknik, UD",SJ-6/04/2009,9000280,OP,2,,8070511109,9000203,OQ,ROCK,19.88,M3,,5.5189,109.72,,207276,"JASA TEKNIK, UD",131870
7/4/2009,1896/O2,1,2800/OV,8070511009,ROCK.RIVER RUN ROCK.(BATU PASIR KALI BERSIH TANPA TANAH).,17.38,CUM,207276,"Jasa Teknik, UD",SJ-7/04/2009,9000280,OP,1,,8070511009,9000203,OQ,ROCK,17.38,M3,,5.44,94.55,,207276,"JASA TEKNIK, UD",131870
7/4/2009,1896/O2,2,2799/OV,8070511109,"ROCK, MEDIUM, M-10",22.26,CUM,207276,"Jasa Teknik, UD",SJ-7/04/2009,9000280,OP,2,,8070511109,9000203,OQ,ROCK,22.26,M3,,5.5189,122.85,,207276,"JASA TEKNIK, UD",131870
8/4/2009,1896/O2,1,2800/OV,8070511009,ROCK.RIVER RUN ROCK.(BATU PASIR KALI BERSIH TANPA TANAH).,28.4,CUM,207276,"Jasa Teknik, UD",SJ-8/04/2009,9000280,OP,1,,8070511009,9000203,OQ,ROCK,28.4,M3,,5.44,154.5,,207276,"JASA TEKNIK, UD",131870
8/4/2009,1896/O2,2,2799/OV,8070511109,"ROCK, MEDIUM, M-10",13.35,CUM,207276,"Jasa Teknik, UD",SJ-8/04/2009,9000280,OP,2,,8070511109,9000203,OQ,ROCK,13.35,M3,,5.5189,73.68,,207276,"JASA TEKNIK, UD",131870
10/4/2009,1896/O2,1,2800/OV,8070511009,ROCK.RIVER RUN ROCK.(BATU PASIR KALI BERSIH TANPA TANAH).,"29,12",CUM,207276,"Jasa Teknik, UD",SJ-10/04/2009,9000280,OP,1,,8070511009,9000203,OQ,ROCK," 29,12 ",M3,,5.44,,,207276,"JASA TEKNIK, UD",131870
10/4/2009,1896/O2,2,2799/OV,8070511109,"ROCK, MEDIUM, M-10","8,86",CUM,207276,"Jasa Teknik, UD",SJ-10/04/2009,9000280,OP,2,,8070511109,9000203,OQ,ROCK," 8,86 ",M3,,5.5189,,,207276,"JASA TEKNIK, UD",131870
11/4/2009,1896/O2,1,2800/OV,8070511009,ROCK.RIVER RUN ROCK.(BATU PASIR KALI BERSIH TANPA TANAH).,16.6,CUM,207276,"Jasa Teknik, UD",SJ-11/04/2009,9000280,OP,1,,8070511009,9000203,OQ,ROCK,16.6,M3,,5.44,90.3,,207276,"JASA TEKNIK, UD",131870
11/4/2009,1896/O2,2,2799/OV,8070511109,"ROCK, MEDIUM, M-10",12.69,CUM,207276,"Jasa Teknik, UD",SJ-11/04/2009,9000280,OP,2,,8070511109,9000203,OQ,ROCK,12.69,M3,,5.5189,70.03,,207276,"JASA TEKNIK, UD",131870
12/4/2009,1896/O2,1,2800/OV,8070511009,ROCK.RIVER RUN ROCK.(BATU PASIR KALI BERSIH TANPA TANAH).,48.53,CUM,207276,"Jasa Teknik, UD",SJ-12/04/2009,9000280,OP,1,,8070511009,9000203,OQ,ROCK,48.53,M3,,5.44,264,,207276,"JASA TEKNIK, UD",131870
12/4/2009,1896/O2,2,2799/OV,8070511109,"ROCK, MEDIUM, M-10",8.25,CUM,207276,"Jasa Teknik, UD",SJ-12/04/2009,9000280,OP,2,,8070511109,9000203,OQ,ROCK,8.25,M3,,5.5189,45.53,,207276,"JASA TEKNIK, UD",131870
